symbol,timestamp,open,high,low,close,volume
DRIFTUSDT,2024-11-08,0.9156,1.4588,0.8899,1.3953,439576034.0
DRIFTUSDT,2024-11-09,1.3954,2.086,1.3612,1.7917,1171154179.0
DRIFTUSDT,2024-11-10,1.7919,1.9379,1.6366,1.7761,390976451.0
DRIFTUSDT,2024-11-11,1.7762,1.7825,1.4916,1.6048,173271102.0
DRIFTUSDT,2024-11-12,1.6041,1.6077,1.3108,1.3856,150253615.0
DRIFTUSDT,2024-11-13,1.3852,1.5448,1.2315,1.2827,180836354.0
DRIFTUSDT,2024-11-14,1.2827,1.2836,1.1001,1.1264,84035370.0
DRIFTUSDT,2024-11-15,1.1261,1.2466,1.072,1.2287,116394987.0
DRIFTUSDT,2024-11-16,1.2287,1.2684,1.1744,1.2226,50324663.0
DRIFTUSDT,2024-11-17,1.2226,1.6141,1.1378,1.6114,301148380.0
DRIFTUSDT,2024-11-18,1.6114,1.7163,1.4732,1.5545,208291183.0
DRIFTUSDT,2024-11-19,1.5543,1.5545,1.3878,1.4282,48132088.0
DRIFTUSDT,2024-11-20,1.4282,1.4282,1.2798,1.3173,38900481.0
DRIFTUSDT,2024-11-21,1.3173,1.4065,1.2909,1.3793,62231814.0
DRIFTUSDT,2024-11-22,1.3791,1.4104,1.3049,1.404,47380850.0
DRIFTUSDT,2024-11-23,1.404,1.4408,1.33,1.3705,41555171.0
DRIFTUSDT,2024-11-24,1.3707,1.3983,1.2425,1.3317,44207357.0
DRIFTUSDT,2024-11-25,1.3317,1.3785,1.2674,1.3088,37844172.0
DRIFTUSDT,2024-11-26,1.3088,1.3284,1.2018,1.2635,28828380.0
DRIFTUSDT,2024-11-27,1.2637,1.3136,1.2389,1.3096,15733666.0
DRIFTUSDT,2024-11-28,1.3092,1.4069,1.2982,1.4047,33567793.0
DRIFTUSDT,2024-11-29,1.4054,1.4731,1.3434,1.4375,30203593.0
DRIFTUSDT,2024-11-30,1.4377,1.4379,1.3648,1.4184,16693783.0
DRIFTUSDT,2024-12-01,1.4186,1.5232,1.3535,1.484,26389296.0
DRIFTUSDT,2024-12-02,1.4843,1.4849,1.2937,1.387,34579750.0
DRIFTUSDT,2024-12-03,1.3872,1.4033,1.2358,1.395,39035476.0
DRIFTUSDT,2024-12-04,1.3951,1.4692,1.3445,1.4184,29056207.0
DRIFTUSDT,2024-12-05,1.4184,1.7454,1.3812,1.5997,138947882.0
DRIFTUSDT,2024-12-06,1.5997,1.9747,1.5971,1.7046,151381444.0
DRIFTUSDT,2024-12-07,1.7046,1.7046,1.6014,1.6502,34280047.0
DRIFTUSDT,2024-12-08,1.6503,1.6507,1.5525,1.6183,21225286.0
DRIFTUSDT,2024-12-09,1.6185,1.619,1.1423,1.3118,58922438.0
DRIFTUSDT,2024-12-10,1.3119,1.3727,1.1209,1.2177,48363137.0
DRIFTUSDT,2024-12-11,1.2176,1.328,1.1759,1.3142,31104207.0
DRIFTUSDT,2024-12-12,1.3136,1.362,1.2751,1.3014,25138320.0
DRIFTUSDT,2024-12-13,1.3015,1.3127,1.2472,1.2928,17921878.0
DRIFTUSDT,2024-12-14,1.293,1.3495,1.2148,1.2518,21511306.0
DRIFTUSDT,2024-12-15,1.252,1.3141,1.2247,1.3103,15439311.0
DRIFTUSDT,2024-12-16,1.3103,1.3567,1.2212,1.2492,17740907.0
DRIFTUSDT,2024-12-17,1.2492,1.2508,1.1667,1.186,16903686.0
DRIFTUSDT,2024-12-18,1.1863,1.1883,1.0567,1.0821,27047370.0
DRIFTUSDT,2024-12-19,1.0818,1.1002,0.941,0.9837,38403840.0
DRIFTUSDT,2024-12-20,0.9837,1.093,0.8755,1.0792,43227806.0
DRIFTUSDT,2024-12-21,1.0793,1.2399,1.0768,1.1511,69150455.0
DRIFTUSDT,2024-12-22,1.1508,1.1513,1.0707,1.1139,29673694.0
DRIFTUSDT,2024-12-23,1.1139,1.1614,1.0575,1.1532,22096031.0
DRIFTUSDT,2024-12-24,1.1531,1.3227,1.1465,1.2612,33099259.0
DRIFTUSDT,2024-12-25,1.2612,1.4372,1.2366,1.399,55561505.0
DRIFTUSDT,2024-12-26,1.399,1.4702,1.2693,1.3088,39031662.0
DRIFTUSDT,2024-12-27,1.3087,1.3096,1.2099,1.232,21174969.0
DRIFTUSDT,2024-12-28,1.2316,1.2956,1.1677,1.265,14138106.0
DRIFTUSDT,2024-12-29,1.2647,1.366,1.2647,1.3426,35985847.0
DRIFTUSDT,2024-12-30,1.3423,1.3429,1.2207,1.2414,25379283.0
DRIFTUSDT,2024-12-31,1.2414,1.5093,1.235,1.3647,135657085.0
DRIFTUSDT,2025-01-01,1.3652,1.5519,1.2959,1.322,150962802.0
DRIFTUSDT,2025-01-02,1.3221,1.3577,1.2604,1.3028,45739932.0
DRIFTUSDT,2025-01-03,1.303,1.4273,1.2649,1.4119,36377921.0
