symbol,timestamp,open,high,low,close,volume
XRPUSDT,2024-09-22,0.5974,0.605,0.577,0.5869,674077012.1
XRPUSDT,2024-09-23,0.5869,0.5956,0.5782,0.5845,538524486.7
XRPUSDT,2024-09-24,0.5844,0.5927,0.5809,0.5909,538716049.6
XRPUSDT,2024-09-25,0.5908,0.5956,0.582,0.5827,463865676.3
XRPUSDT,2024-09-26,0.5827,0.5963,0.5735,0.5903,652161045.8
XRPUSDT,2024-09-27,0.5902,0.5971,0.5821,0.5885,721188608.0
XRPUSDT,2024-09-28,0.5885,0.626,0.585,0.6136,1816073572.2
XRPUSDT,2024-09-29,0.6137,0.6661,0.6075,0.6412,2027817411.1
XRPUSDT,2024-09-30,0.6412,0.655,0.6083,0.6113,1688776792.1
XRPUSDT,2024-10-01,0.6113,0.6342,0.5768,0.5966,2403805541.0
XRPUSDT,2024-10-02,0.5965,0.6065,0.5267,0.5379,1951412911.9
XRPUSDT,2024-10-03,0.5379,0.5441,0.5066,0.5214,1811651951.7
XRPUSDT,2024-10-04,0.5214,0.5386,0.5146,0.5338,867664761.1
XRPUSDT,2024-10-05,0.5338,0.5351,0.5256,0.5291,447462230.0
XRPUSDT,2024-10-06,0.5291,0.537,0.5276,0.5334,361536883.1
XRPUSDT,2024-10-07,0.5334,0.5458,0.528,0.5282,760080491.5
XRPUSDT,2024-10-08,0.5282,0.5361,0.5206,0.5308,542496316.4
XRPUSDT,2024-10-09,0.5307,0.5345,0.5206,0.5241,449745182.7
XRPUSDT,2024-10-10,0.5241,0.5448,0.5224,0.5303,781249010.4
XRPUSDT,2024-10-11,0.5303,0.5417,0.5294,0.5386,499131221.7
XRPUSDT,2024-10-12,0.5386,0.5431,0.535,0.539,297480321.4
XRPUSDT,2024-10-13,0.5391,0.5393,0.5246,0.5316,367905477.9
XRPUSDT,2024-10-14,0.5317,0.5524,0.5279,0.5484,609403782.9
XRPUSDT,2024-10-15,0.5484,0.5555,0.5311,0.5415,915331030.1
XRPUSDT,2024-10-16,0.5415,0.5539,0.537,0.5481,580866233.4
XRPUSDT,2024-10-17,0.548,0.5665,0.5414,0.5439,968772557.5
XRPUSDT,2024-10-18,0.5439,0.553,0.5392,0.5465,537722110.7
XRPUSDT,2024-10-19,0.5465,0.5499,0.5402,0.5438,277827546.1
XRPUSDT,2024-10-20,0.5438,0.5488,0.5361,0.5483,377387418.8
XRPUSDT,2024-10-21,0.5484,0.561,0.5411,0.5448,807527778.7
XRPUSDT,2024-10-22,0.5448,0.5496,0.5286,0.5336,641595400.7
XRPUSDT,2024-10-23,0.5336,0.534,0.5113,0.5257,563998854.5
XRPUSDT,2024-10-24,0.5256,0.5337,0.524,0.5322,375237570.7
XRPUSDT,2024-10-25,0.5322,0.5322,0.4858,0.5017,838494229.9
