symbol,timestamp,open,high,low,close,volume
BTCUSDT,2024-08-25,64116.6,65175.4,63731.3,64190.2,115546.888
BTCUSDT,2024-08-26,64190.1,64455.8,62750.2,62807.6,195977.222
BTCUSDT,2024-08-27,62807.7,63196.0,57928.2,59384.5,339269.805
BTCUSDT,2024-08-28,59384.4,60197.8,57820.0,59010.0,313788.567
BTCUSDT,2024-08-29,59010.0,61144.9,58655.0,59323.2,233896.685
BTCUSDT,2024-08-30,59323.3,59914.9,57525.0,59096.3,268276.469
BTCUSDT,2024-08-31,59096.4,59436.0,58700.0,58941.9,68866.674
BTCUSDT,2024-09-01,58941.9,59052.7,57123.0,57268.1,222909.914
BTCUSDT,2024-09-02,57268.1,59412.3,57093.0,59112.1,201218.384
BTCUSDT,2024-09-03,59112.2,59790.0,57320.0,57451.9,230196.497
BTCUSDT,2024-09-04,57452.0,58500.0,55555.0,57944.8,326983.311
BTCUSDT,2024-09-05,57944.8,58318.9,55600.0,56145.7,294703.592
BTCUSDT,2024-09-06,56145.7,57000.0,52510.8,53927.7,479063.113
BTCUSDT,2024-09-07,53927.7,54820.2,53725.0,54134.9,127686.594
BTCUSDT,2024-09-08,54134.9,55300.0,53596.5,54839.6,162078.536
BTCUSDT,2024-09-09,54839.6,58153.2,54557.0,57010.0,313094.361
BTCUSDT,2024-09-10,57010.1,58033.2,56361.0,57609.1,228317.676
BTCUSDT,2024-09-11,57609.2,57954.4,55515.2,57306.0,338231.445
BTCUSDT,2024-09-12,57305.6,58606.6,57283.1,58097.0,261449.688
BTCUSDT,2024-09-13,58097.1,60597.0,57594.0,60456.2,277429.492
BTCUSDT,2024-09-14,60456.2,60572.9,59360.1,59964.0,102580.577
BTCUSDT,2024-09-15,59963.9,60369.4,58654.0,59100.5,130524.206
BTCUSDT,2024-09-16,59100.5,59182.2,57446.3,58187.0,250699.432
BTCUSDT,2024-09-17,58187.0,61345.0,57588.8,60281.0,318442.066
BTCUSDT,2024-09-18,60281.0,61765.0,59138.0,61735.3,355729.312
BTCUSDT,2024-09-19,61735.3,63830.1,61534.0,62926.9,302382.412
BTCUSDT,2024-09-20,62926.9,64126.7,62320.0,63175.7,257172.835
BTCUSDT,2024-09-21,63175.8,63546.9,62714.2,63320.6,78248.362
